,Model,Score
0,Linear Regression,26.075646784758327
1,Linear Regression,26.22076374512367
2,Linear Regression,27.871705974166684
3,Linear Regression,26.26120876448952
4,Linear Regression,24.35129055073965
5,Lasso (α=10),13.838579647284671
6,Lasso (α=10),12.694816808748214
7,Lasso (α=10),13.16138004063007
8,Lasso (α=10),13.102750808156896
9,Lasso (α=10),13.368569615689488
10,Linear SVM,14.105299261016986
11,Linear SVM,12.82537436471462
12,Linear SVM,13.109785838764275
13,Linear SVM,13.500626109112583
14,Linear SVM,13.513382497144569
15,Kernel SVM (RBF),14.290982188926177
16,Kernel SVM (RBF),12.817145666514707
17,Kernel SVM (RBF),13.11715919813607
18,Kernel SVM (RBF),13.328615647140367
19,Kernel SVM (RBF),13.20656127333422
20,Random Forest,14.918811899733976
21,Random Forest,13.154975412814416
22,Random Forest,13.937044600573264
23,Random Forest,14.079856806635332
24,Random Forest,13.108149007491992
